station,Ts_obs
1.0,51.6166507235
2.0,42.7439527203
3.0,45.4862427924
4.0,47.7158869452
5.0,38.224006657
6.0,36.5851744317
7.0,39.011004775
8.0,43.7134775771
9.0,45.6316964651
10.0,51.5528641697
11.0,53.052255771
12.0,45.8001638921
13.0,47.0924132512
14.0,51.8319181497
15.0,43.0322114461
16.0,46.2193917693
17.0,40.2767095943
18.0,47.9245254314
19.0,44.5608522619
20.0,39.0527938384
21.0,46.0901032359
22.0,48.8420781011
23.0,47.2990641587
24.0,39.4129556554
25.0,38.6821224886
26.0,39.0836949735
27.0,35.5921336614
28.0,41.6649525629
29.0,45.4436866245
30.0,41.2542657756
