station,Ts_obs
1.0,24.5851400998
2.0,22.3754006938
3.0,23.3207143271
4.0,24.8486624371
5.0,22.7752915874
6.0,23.0307858186
7.0,21.8540110153
8.0,21.3253170275
9.0,22.5867106064
10.0,24.1091392141
11.0,22.8598210061
12.0,23.0411258734
13.0,22.0322457341
14.0,23.4135462921
15.0,20.5590490653
16.0,22.6167001485
17.0,21.9466478672
18.0,23.6780694785
19.0,21.9182366221
20.0,23.6454029426
21.0,22.4160856137
22.0,23.7280226286
23.0,18.7168734981
24.0,19.3637135771
25.0,22.4182560675
26.0,17.6985578941
27.0,21.2205991469
28.0,22.1549905293
29.0,19.182251809
30.0,17.2931359183
