FID,roof,road,watr,conc,Veg,dry,irr,H,W
1,0.068740955,0,0,0.70984081,0.071635311,0.149782923,0,0.1,50
2,0.010130246,0,0.010130246,0.510853836,0.197539797,0.271345875,0,0.1,50
3,0.210564399,0,0.001447178,0.552098408,0.143994211,0.091895803,0,7.5,35
4,0.002894356,0,0,0.824891462,0.145441389,0.026772793,0,0.1,50
5,0.086107091,0,0.308248915,0.430535456,0.165701881,0.009406657,0,6.5,50
6,0.001447178,0,0.313314038,0.179450072,0.179450072,0.303907381,0.022431259,0.1,50
8,0.026049204,0,0.051374819,0.335745297,0.169319826,0.251808973,0.165701881,0.1,50
9,0.288712012,0,0.005065123,0.11577424,0.081041968,0.507959479,0.001447178,3.5,50
10,0.527496382,0,0,0.283646889,0.098408104,0.090448625,0,3.5,15
11,0.501447178,0,0,0.264109986,0.117221418,0.117221418,0,3.5,15
12,0.305354559,0,0.073806078,0.283646889,0.098408104,0.222141823,0.016642547,4.5,15
13,0.471780029,0,0,0.272793054,0.167149059,0.088277858,0,3.5,15
16,0.285817656,0,0,0.256150506,0.191027496,0.246020261,0.020984081,5,15
17,0.08683068,0,0,0.181620839,0.227930536,0.384949349,0.118668596,3.5,50
18,0.390738061,0,0,0.258321273,0.204775687,0.1447178,0.001447178,5,15
19,0.472503618,0,0,0.191027496,0.203328509,0.133140376,0,5,15
20,0.295947902,0,0,0.60130246,0.092619392,0.00723589,0.002894356,9,15
21,0.204775687,0,0.117945007,0.300289436,0.067293777,0.260492041,0.049204052,5,25
22,0.474674385,0,0,0.285094067,0.060781476,0.174384949,0.005065123,5,15
23,0.012301013,0,0.016642547,0.023878437,0.321273517,0.625904486,0,0.1,50
24,0,0,0.240955138,0,0.319102749,0.439942113,0,0.1,50
25,0,0,0.658465991,0,0.019536903,0.291606368,0.030390738,0.1,50
26,0,0,0.010853835,0.010130246,0.128798842,0.646164978,0.204052098,0.1,50
27,0,0,0.377713459,0,0.322720694,0.299565846,0,0.1,50
28,0,0,0,0.251085384,0.43487699,0.274240231,0.039797395,0.1,50
29,0,0,0.002170767,0.003617945,0.194645441,0.769898697,0.029667149,0.1,50
30,0,0,0.006512301,0,0.062228654,0.930535456,0.000723589,0.1,50
