FID,roof,road,watr,conc,Veg,dry,irr,H,W
0,0.8208,0,0,0.0208,0.1424,0.016,0,8.208,5.376
1,0.7152,0,0,0.0416,0.0912,0.152,0,7.152,8.544
2,0.026153846,0,0,0.544615385,0.181538462,0.247692308,0,0.261538462,29.21538462
3,0.1952,0,0,0.3216,0.1328,0.3504,0,1.952,24.144
4,0.7136,0,0,0.0496,0.1248,0.112,0,7.136,8.592
5,0.2592,0,0,0.1328,0.4896,0.1184,0,2.592,22.224
6,0,0,0,0.8,0.0608,0.1392,0,0,30
7,0,0,0.306153846,0.415384615,0.164615385,0.113846154,0,0,30
8,0.1264,0,0,0.8096,0.0224,0.0416,0,1.264,26.208
9,0.0208,0,0,0.8,0.1344,0.0448,0,0.208,29.376
10,0,0,0,0.6672,0.2496,0.0832,0,0,30
11,0.303076923,0,0,0.129230769,0.286153846,0.281538462,0,3.030769231,20.90769231
12,0.2112,0,0,0.1136,0.464,0.2112,0,2.112,23.664
13,0,0,0,0.528,0.2784,0.1936,0,0,30
14,0,0,0.0016,0.0368,0.56,0.4016,0,0,30
15,0.2112,0,0,0.104,0.1088,0.576,0,2.112,23.664
16,0.646153846,0,0,0.107692308,0.118461538,0.127692308,0,6.461538462,10.61538462
17,0.376,0,0,0.0944,0.2848,0.2448,0,3.76,18.72
18,0.1984,0,0,0.1024,0.336,0.3632,0,1.984,24.048
19,0.1424,0,0,0.0464,0.3968,0.4144,0,1.424,25.728
20,0.0608,0,0.0032,0.0656,0.4496,0.4208,0,0.608,28.176
21,0,0,0,0.066153846,0.546153846,0.387692308,0,0,30
22,0,0,0,0.0208,0.1632,0.816,0,0,30
23,0,0,0,0,0.136,0.864,0,0,30
24,0,0,0,0,0.184,0.816,0,0,30
25,0,0,0,0,0.128,0.872,0,0,30
26,0,0,0,0,0.029230769,0.970769231,0,0,30
27,0.0096,0,0,0.0304,0.0928,0.8672,0,0.096,29.712
28,0.0144,0,0,0.0928,0.224,0.6688,0,0.144,29.568
29,0,0,0,0.5888,0.0288,0.3824,0,0,30
30,0,0,0,0.42,0.090769231,0.489230769,0,0,30
31,0,0,0,0.3232,0.1888,0.488,0,0,30
32,0,0,0,0.3584,0.3136,0.328,0,0,30
33,0,0,0,0.256,0.4992,0.2448,0,0,30
34,0,0,0,0.2944,0.5312,0.1744,0,0,30
35,0,0,0,0.281538462,0.243076923,0.475384615,0,0,30
36,0,0,0.0064,0.1808,0.5072,0.3056,0,0,30
37,0,0,0.0032,0.0224,0.3232,0.6512,0,0,30
38,0,0,0.0208,0.0528,0.6032,0.3232,0,0,30
39,0,0,0.032,0.0192,0.4752,0.4736,0,0,30
40,0,0,0.016923077,0.003076923,0.4,0.58,0,0,30
41,0,0,0.0272,0.0176,0.2528,0.7024,0,0,30
42,0,0,0.0224,0.0256,0.264,0.688,0,0,30
