datetime,Ta,RH,WS,P,Kd,Ld
1/01/2011 0:00,18.6,82,2.5,1011.4,0,332.8346667
1/01/2011 0:30,18.1,79,1.388888889,1011.3,0,334.141
1/01/2011 1:00,18.1,79,3.055555556,1011,0,337.17
1/01/2011 1:30,17.7,80,0,1010.9,0,339.2446667
1/01/2011 2:00,17.5,80,0,1010.9,0,339.0353333
1/01/2011 2:30,17.6,81,0.555555556,1010.6,0,338.625
1/01/2011 3:00,17.8,81,0,1010.7,0,334.0566667
1/01/2011 3:30,16.4,81,0,1010.8,0,330.939
1/01/2011 4:00,16.9,84,0,1010.9,0,334.505
1/01/2011 4:30,15.8,85,0,1012.4,0.244333333,339.941
1/01/2011 5:00,16.3,85,2.5,1011.7,13.508,345.5613333
1/01/2011 5:30,17.5,83,3.611111111,1011.6,36.10566667,351.924
1/01/2011 6:00,17.8,79,3.611111111,1011.7,73.92566667,360.9456667
1/01/2011 6:30,18.7,78,2.222222222,1012,101.612,372.1373333
1/01/2011 7:00,18.8,77,2.222222222,1011.4,197.251,357.1743333
1/01/2011 7:30,19.5,74,1.388888889,1012.3,189.7706667,364.5413333
1/01/2011 8:00,20.7,70,2.222222222,1013,511.9433333,352.6206667
1/01/2011 8:30,21,68,3.055555556,1013.2,685.4766667,347.469
1/01/2011 9:00,22.5,64,3.055555556,1013,800.6213333,345.14
1/01/2011 9:30,22.9,62,2.5,1013,880.4443333,347.4793333
1/01/2011 10:00,24.5,53,2.5,1012.7,979.206,347.477
1/01/2011 10:30,26.8,46,2.5,1011.8,827.0733333,371.558
1/01/2011 11:00,27.3,40,4.166666667,1011.7,1024.145667,352.5703333
1/01/2011 11:30,27.2,41,5,1011.6,715.6273333,378.654
1/01/2011 12:00,27.3,41,7.222222222,1011.8,333.526,391.6876667
1/01/2011 12:30,22.4,57,9.722222222,1013.8,228.0723333,392.3936667
1/01/2011 13:00,22.7,54,8.333333333,1012.9,111.0773333,402.249
