station,Ts_obs
1.0,48.2056381313
2.0,41.970293928
3.0,43.7257483492
4.0,43.4028024692
5.0,39.602141565
6.0,39.6815895707
7.0,37.1582089193
8.0,43.7302222658
9.0,44.2333743597
10.0,48.292151044
11.0,49.5183241082
12.0,46.5693170305
13.0,47.4812151619
14.0,47.529611681
15.0,47.1225081169
16.0,45.7041868632
17.0,45.7682335494
18.0,49.12975498
19.0,44.7256861752
20.0,39.8614417035
21.0,48.5384409487
22.0,49.0845716256
23.0,46.7296753891
24.0,34.7719744413
25.0,43.1053162408
26.0,42.6901525077
27.0,36.9219103979
28.0,47.0274697847
29.0,44.9315960325
30.0,43.0147038605
