station,Ts_obs
1.0,24.8295134678
2.0,24.6951105725
3.0,23.1203862326
4.0,25.019759634
5.0,23.7835103989
6.0,21.6580503021
7.0,21.8302794569
8.0,22.6333167467
9.0,23.0984073283
10.0,22.9789802535
11.0,22.8907262895
12.0,23.8648658769
13.0,21.8614360705
14.0,23.9517639579
15.0,20.1212452169
16.0,22.4272107239
17.0,21.662090113
18.0,24.3377467955
19.0,23.9839234629
20.0,25.9148314376
21.0,23.3282698032
22.0,23.167458619
23.0,18.4898190485
24.0,18.2757677772
25.0,22.6998304405
26.0,17.3798583531
27.0,19.5571344425
28.0,20.2057191426
29.0,19.5200041837
30.0,16.9437862604
