station,Ts_obs
1.0,24.3348646692
2.0,20.2537374695
3.0,22.3226094614
4.0,24.1850940106
5.0,23.777624595
6.0,23.5296073897
7.0,22.8300800151
8.0,22.1914082083
9.0,22.4100333686
10.0,22.705538806
11.0,22.016518102
12.0,21.9495051541
13.0,22.3309983859
14.0,22.5391488432
15.0,20.799586513
16.0,22.5602945635
17.0,21.9333371505
18.0,22.6629556782
19.0,21.7119039818
20.0,21.7727405379
21.0,22.5493234728
22.0,23.5278188819
23.0,19.4943367397
24.0,20.7989236836
25.0,21.7864643593
26.0,18.4455309856
27.0,21.5342674414
28.0,22.5637230507
29.0,19.000050673
30.0,18.1023899422
